episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,-1.0,9,32,0,1,0.111,,,
2,-1.0,8,28,0,1,0.125,,,
3,-1.0,8,28,0,1,0.125,,,
4,-1.0,5,16,0,1,0.200,,,
5,-1.0,8,28,0,1,0.125,,,
6,-1.0,8,28,0,1,0.125,,,
7,-1.0,8,28,0,1,0.125,,,
8,-1.0,8,28,0,1,0.125,,,
9,-1.0,7,24,0,1,0.143,,,
10,-1.0,7,24,0,1,0.143,,,
11,-1.0,8,28,0,1,0.125,,,
12,-1.0,7,24,0,1,0.143,,,
13,-1.0,7,24,0,1,0.143,,,
14,-1.0,8,28,0,1,0.125,,,
15,-1.0,8,28,0,1,0.125,,,
16,-1.0,9,32,0,1,0.111,,,
17,-1.0,7,24,0,1,0.143,,,
18,-1.0,8,28,0,1,0.125,,,
19,-1.0,10,36,0,1,0.100,,,
20,-1.0,7,24,0,1,0.143,,,
21,-1.0,9,32,0,1,0.111,,,
22,-1.0,8,28,0,1,0.125,,,
23,-1.0,7,24,0,1,0.143,,,
24,-1.0,7,24,0,1,0.143,,,
25,-1.0,7,24,0,1,0.143,,,
26,-1.0,8,28,0,1,0.125,,,
27,-1.0,10,36,0,1,0.100,,,
28,-1.0,9,32,0,1,0.111,,,
29,-1.0,8,28,0,1,0.125,,,
30,-1.0,8,28,0,1,0.125,,,
31,-1.0,8,28,0,1,0.125,,,
32,-1.0,7,24,0,1,0.143,,,
33,-1.0,9,32,0,1,0.111,,,
34,-1.0,8,28,0,1,0.125,,,
35,-1.0,8,28,0,1,0.125,,,
36,-1.0,6,20,0,1,0.167,,,
37,-1.0,7,24,0,1,0.143,,,
38,-1.0,9,32,0,1,0.111,,,
39,-1.0,7,24,0,1,0.143,,,
40,-1.0,8,28,0,1,0.125,,,
41,-1.0,7,24,0,1,0.143,,,
42,-1.0,9,32,0,1,0.111,,,
43,-1.0,8,28,0,1,0.125,,,
44,-1.0,8,28,0,1,0.125,,,
45,-1.0,8,28,0,1,0.125,,,
46,-1.0,9,32,0,1,0.111,,,
47,-1.0,9,32,0,1,0.111,,,
48,-1.0,8,28,0,1,0.125,,,
49,-1.0,9,32,0,1,0.111,,,
50,-1.0,9,32,0,1,0.111,,,
51,-1.0,8,28,0,1,0.125,,,
52,-1.0,7,24,0,1,0.143,,,
53,-1.0,9,32,0,1,0.111,,,
54,-1.0,9,32,0,1,0.111,,,
55,-1.0,6,20,0,1,0.167,,,
56,-1.0,8,28,0,1,0.125,,,
57,-1.0,8,28,0,1,0.125,,,
58,-1.0,8,28,0,1,0.125,,,
59,-1.0,7,24,0,1,0.143,,,
60,-1.0,8,28,0,1,0.125,,,
61,-1.0,9,32,0,1,0.111,,,
62,-1.0,7,24,0,1,0.143,,,
63,-1.0,8,28,0,1,0.125,,,
64,-1.0,9,32,0,1,0.111,,,
65,-1.0,7,24,0,1,0.143,,,
66,-1.0,8,28,0,1,0.125,,,
67,-1.0,7,24,0,1,0.143,,,
68,-1.0,8,28,0,1,0.125,,,
69,-1.0,8,28,0,1,0.125,,,
70,-1.0,9,32,0,1,0.111,,,
71,-1.0,7,24,0,1,0.143,,,
72,-1.0,9,32,0,1,0.111,,,
73,-1.0,8,28,0,1,0.125,,,
74,-1.0,8,28,0,1,0.125,,,
75,-1.0,9,32,0,1,0.111,,,
76,-1.0,10,36,0,1,0.100,,,
77,-1.0,8,28,0,1,0.125,,,
78,-1.0,8,28,0,1,0.125,,,
79,-1.0,8,28,0,1,0.125,,,
80,-1.0,8,28,0,1,0.125,,,
81,-1.0,8,28,0,1,0.125,,,
82,-1.0,8,28,0,1,0.125,,,
83,-1.0,8,28,0,1,0.125,,,
84,-1.0,9,32,0,1,0.111,,,
85,-1.0,9,32,0,1,0.111,,,
86,-1.0,8,28,0,1,0.125,,,
87,-1.0,9,32,0,1,0.111,,,
88,-1.0,8,28,0,1,0.125,,,
89,-1.0,10,36,0,1,0.100,,,
90,-1.0,9,32,0,1,0.111,,,
91,-1.0,7,24,0,1,0.143,,,
92,-1.0,8,28,0,1,0.125,,,
93,-1.0,8,28,0,1,0.125,,,
94,-1.0,9,32,0,1,0.111,,,
95,-1.0,9,32,0,1,0.111,,,
96,-1.0,9,32,0,1,0.111,,,
97,-1.0,8,28,0,1,0.125,,,
98,-1.0,6,20,0,1,0.167,,,
99,-1.0,10,36,0,1,0.100,,,
100,-1.0,8,28,0,1,0.125,,,
101,-1.0,8,28,0,1,0.125,,,
102,-1.0,7,24,0,1,0.143,,,
103,-1.0,8,28,0,1,0.125,,,
104,-1.0,9,32,0,1,0.111,,,
105,-1.0,8,28,0,1,0.125,,,
106,-1.0,8,28,0,1,0.125,,,
107,-1.0,8,28,0,1,0.125,,,
108,-1.0,9,32,0,1,0.111,,,
109,-1.0,8,28,0,1,0.125,,,
110,-1.0,8,28,0,1,0.125,,,
111,-1.0,8,28,0,1,0.125,,,
112,-1.0,6,20,0,1,0.167,,,
113,-1.0,8,28,0,1,0.125,,,
114,-1.0,7,24,0,1,0.143,,,
115,-1.0,9,32,0,1,0.111,,,
116,-1.0,5,16,0,1,0.200,,,
117,-1.0,8,28,0,1,0.125,,,
118,-1.0,9,32,0,1,0.111,,,
119,-1.0,8,28,0,1,0.125,,,
120,-1.0,8,28,0,1,0.125,,,
121,-1.0,8,28,0,1,0.125,,,
122,-1.0,8,28,0,1,0.125,,,
123,-1.0,8,28,0,1,0.125,,,
124,-1.0,8,28,0,1,0.125,,,
125,-1.0,8,28,0,1,0.125,,,
126,-1.0,9,32,0,1,0.111,,,
127,-1.0,7,24,0,1,0.143,,,
128,-1.0,9,32,0,1,0.111,,,
129,-1.0,6,20,0,1,0.167,,,
130,-1.0,7,24,0,1,0.143,,,
131,-1.0,7,24,0,1,0.143,,,
132,-1.0,9,32,0,1,0.111,,,
133,-1.0,10,36,0,1,0.100,,,
134,-1.0,8,28,0,1,0.125,,,
135,-1.0,8,28,0,1,0.125,,,
136,-1.0,7,24,0,1,0.143,,,
137,-1.0,7,24,0,1,0.143,,,
138,-1.0,7,24,0,1,0.143,,,
139,-1.0,7,24,0,1,0.143,,,
140,-1.0,9,32,0,1,0.111,,,
141,-1.0,6,20,0,1,0.167,,,
142,-1.0,8,28,0,1,0.125,,,
143,-1.0,6,20,0,1,0.167,,,
144,-1.0,9,32,0,1,0.111,,,
145,-1.0,7,24,0,1,0.143,,,
146,-1.0,7,24,0,1,0.143,,,
147,-1.0,7,24,0,1,0.143,,,
148,-1.0,8,28,0,1,0.125,,,
149,-1.0,8,28,0,1,0.125,,,
150,-1.0,7,24,0,1,0.143,,,
151,-1.0,9,32,0,1,0.111,,,
152,-1.0,8,28,0,1,0.125,,,
153,-1.0,7,24,0,1,0.143,,,
154,-1.0,9,32,0,1,0.111,,,
155,-1.0,8,28,0,1,0.125,,,
156,-1.0,8,28,0,1,0.125,,,
157,-1.0,8,28,0,1,0.125,,,
158,-1.0,7,24,0,1,0.143,,,
159,-1.0,9,32,0,1,0.111,,,
160,-1.0,7,24,0,1,0.143,,,
161,-1.0,8,28,0,1,0.125,,,
162,-1.0,8,28,0,1,0.125,,,
163,-1.0,8,28,0,1,0.125,,,
164,-1.0,9,32,0,1,0.111,,,
165,-1.0,9,32,0,1,0.111,,,
166,-1.0,9,32,0,1,0.111,,,
167,-1.0,8,28,0,1,0.125,,,
168,-1.0,8,28,0,1,0.125,,,
169,-1.0,9,32,0,1,0.111,,,
170,-1.0,7,24,0,1,0.143,,,
171,-1.0,8,28,0,1,0.125,,,
172,-1.0,8,28,0,1,0.125,,,
173,-1.0,7,24,0,1,0.143,,,
174,-1.0,7,24,0,1,0.143,,,
175,-1.0,8,28,0,1,0.125,,,
176,-1.0,8,28,0,1,0.125,,,
177,-1.0,7,24,0,1,0.143,,,
178,-1.0,8,28,0,1,0.125,,,
179,-1.0,8,28,0,1,0.125,,,
180,-1.0,9,32,0,1,0.111,,,
181,-1.0,9,32,0,1,0.111,,,
182,-1.0,8,28,0,1,0.125,,,
183,-1.0,9,32,0,1,0.111,,,
184,-1.0,7,24,0,1,0.143,,,
185,-1.0,7,24,0,1,0.143,,,
186,-1.0,8,28,0,1,0.125,,,
187,-1.0,7,24,0,1,0.143,,,
188,-1.0,8,28,0,1,0.125,,,
189,-1.0,9,32,0,1,0.111,,,
190,-1.0,7,24,0,1,0.143,,,
191,-1.0,9,32,0,1,0.111,,,
192,-1.0,7,24,0,1,0.143,,,
193,-1.0,8,28,0,1,0.125,,,
194,-1.0,8,28,0,1,0.125,,,
195,-1.0,9,32,0,1,0.111,,,
196,-1.0,7,24,0,1,0.143,,,
197,-1.0,8,28,0,1,0.125,,,
198,-1.0,8,28,0,1,0.125,,,
199,-1.0,7,24,0,1,0.143,,,
200,-1.0,9,32,0,1,0.111,,,
201,-1.0,8,28,0,1,0.125,,,
202,-1.0,9,32,0,1,0.111,,,
203,-1.0,8,28,0,1,0.125,,,
204,-1.0,8,28,0,1,0.125,,,
205,-1.0,6,20,0,1,0.167,,,
206,-1.0,7,24,0,1,0.143,,,
207,-1.0,8,28,0,1,0.125,,,
208,-1.0,7,24,0,1,0.143,,,
209,-1.0,7,24,0,1,0.143,,,
210,-1.0,7,24,0,1,0.143,,,
211,-1.0,7,24,0,1,0.143,,,
212,-1.0,8,28,0,1,0.125,,,
213,-1.0,9,32,0,1,0.111,,,
214,-1.0,7,24,0,1,0.143,,,
215,-1.0,7,24,0,1,0.143,,,
216,-1.0,8,28,0,1,0.125,,,
217,-1.0,7,24,0,1,0.143,,,
218,-1.0,8,28,0,1,0.125,,,
219,-1.0,7,24,0,1,0.143,,,
220,-1.0,8,28,0,1,0.125,,,
221,-1.0,8,28,0,1,0.125,,,
222,-1.0,8,28,0,1,0.125,,,
223,-1.0,8,28,0,1,0.125,,,
224,-1.0,9,32,0,1,0.111,,,
225,-1.0,7,24,0,1,0.143,,,
226,-1.0,9,32,0,1,0.111,,,
227,-1.0,9,32,0,1,0.111,,,
228,-1.0,7,24,0,1,0.143,,,
229,-1.0,9,32,0,1,0.111,,,
230,-1.0,9,32,0,1,0.111,,,
231,-1.0,8,28,0,1,0.125,,,
232,-1.0,8,28,0,1,0.125,,,
233,-1.0,8,28,0,1,0.125,,,
234,-1.0,7,24,0,1,0.143,,,
235,-1.0,8,28,0,1,0.125,,,
236,-1.0,8,28,0,1,0.125,,,
237,-1.0,7,24,0,1,0.143,,,
238,-1.0,9,32,0,1,0.111,,,
239,-1.0,7,24,0,1,0.143,,,
240,-1.0,9,32,0,1,0.111,,,
241,-1.0,8,28,0,1,0.125,,,
242,-1.0,7,24,0,1,0.143,,,
243,-1.0,8,28,0,1,0.125,,,
244,-1.0,7,24,0,1,0.143,,,
