episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
144,-1.0,8,28,0,1,0.125,,,
145,-1.0,7,24,0,1,0.143,,,
146,-1.0,6,20,0,1,0.167,,,
147,-1.0,7,24,0,1,0.143,,,
148,-1.0,7,24,0,1,0.143,,,
149,-1.0,8,28,0,1,0.125,,,
150,-1.0,9,32,0,1,0.111,,,
151,-1.0,8,28,0,1,0.125,,,
152,-1.0,7,24,0,1,0.143,,,
153,-1.0,7,24,0,1,0.143,,,
154,-1.0,8,28,0,1,0.125,,,
155,-1.0,7,24,0,1,0.143,,,
156,-1.0,6,20,0,1,0.167,,,
157,-1.0,8,28,0,1,0.125,,,
158,-1.0,9,32,0,1,0.111,,,
159,-1.0,8,28,0,1,0.125,,,
160,-1.0,7,24,0,1,0.143,,,
161,-1.0,6,20,0,1,0.167,,,
162,-1.0,7,24,0,1,0.143,,,
163,-1.0,8,28,0,1,0.125,,,
164,-1.0,8,28,0,1,0.125,,,
165,-1.0,8,28,0,1,0.125,,,
166,-1.0,8,28,0,1,0.125,,,
167,-1.0,8,28,0,1,0.125,,,
168,-1.0,7,24,0,1,0.143,,,
169,-1.0,8,28,0,1,0.125,,,
170,-1.0,9,32,0,1,0.111,,,
171,-1.0,8,28,0,1,0.125,,,
172,-1.0,6,20,0,1,0.167,,,
173,-1.0,7,24,0,1,0.143,,,
174,-1.0,8,28,0,1,0.125,,,
175,-1.0,7,24,0,1,0.143,,,
176,-1.0,8,28,0,1,0.125,,,
177,-1.0,7,24,0,1,0.143,,,
178,-1.0,9,32,0,1,0.111,,,
179,-1.0,8,28,0,1,0.125,,,
180,-1.0,8,28,0,1,0.125,,,
181,-1.0,8,28,0,1,0.125,,,
182,-1.0,8,28,0,1,0.125,,,
183,-1.0,7,24,0,1,0.143,,,
184,-1.0,8,28,0,1,0.125,,,
185,-1.0,7,24,0,1,0.143,,,
186,-1.0,6,20,0,1,0.167,,,
187,-1.0,8,28,0,1,0.125,,,
188,-1.0,7,24,0,1,0.143,,,
189,-1.0,7,24,0,1,0.143,,,
190,-1.0,8,28,0,1,0.125,,,
191,-1.0,8,28,0,1,0.125,,,
192,-1.0,7,24,0,1,0.143,,,
193,-1.0,9,32,0,1,0.111,,,
194,-1.0,9,32,0,1,0.111,,,
195,-1.0,9,32,0,1,0.111,,,
196,-1.0,10,36,0,1,0.100,,,
197,-1.0,8,28,0,1,0.125,,,
198,-1.0,10,36,0,1,0.100,,,
199,-1.0,6,20,0,1,0.167,,,
200,-1.0,8,28,0,1,0.125,,,
201,-1.0,7,24,0,1,0.143,,,
202,-1.0,8,28,0,1,0.125,,,
203,-1.0,8,28,0,1,0.125,,,
204,-1.0,9,32,0,1,0.111,,,
205,-1.0,10,36,0,1,0.100,,,
206,-1.0,8,28,0,1,0.125,,,
207,-1.0,6,20,0,1,0.167,,,
208,-1.0,7,24,0,1,0.143,,,
209,-1.0,8,28,0,1,0.125,,,
210,-1.0,9,32,0,1,0.111,,,
211,-1.0,8,28,0,1,0.125,,,
212,-1.0,6,20,0,1,0.167,,,
213,-1.0,7,24,0,1,0.143,,,
214,-1.0,8,28,0,1,0.125,,,
215,-1.0,8,28,0,1,0.125,,,
216,-1.0,8,28,0,1,0.125,,,
217,-1.0,8,28,0,1,0.125,,,
218,-1.0,6,20,0,1,0.167,,,
219,-1.0,7,24,0,1,0.143,,,
220,-1.0,8,28,0,1,0.125,,,
221,-1.0,7,24,0,1,0.143,,,
222,-1.0,8,28,0,1,0.125,,,
223,-1.0,8,28,0,1,0.125,,,
224,-1.0,9,32,0,1,0.111,,,
225,-1.0,9,32,0,1,0.111,,,
226,-1.0,9,32,0,1,0.111,,,
227,-1.0,9,32,0,1,0.111,,,
228,-1.0,7,24,0,1,0.143,,,
229,-1.0,8,28,0,1,0.125,,,
230,-1.0,7,24,0,1,0.143,,,
231,-1.0,8,28,0,1,0.125,,,
232,-1.0,8,28,0,1,0.125,,,
233,-1.0,8,28,0,1,0.125,,,
234,-1.0,6,20,0,1,0.167,,,
235,-1.0,8,28,0,1,0.125,,,
236,-1.0,8,28,0,1,0.125,,,
237,-1.0,10,36,0,1,0.100,,,
238,-1.0,8,28,0,1,0.125,,,
239,-1.0,8,28,0,1,0.125,,,
240,-1.0,8,28,0,1,0.125,,,
241,-1.0,6,20,0,1,0.167,,,
242,-1.0,8,28,0,1,0.125,,,
243,-1.0,8,28,0,1,0.125,,,
244,-1.0,7,24,0,1,0.143,,,
245,-1.0,9,32,0,1,0.111,,,
246,-1.0,9,32,0,1,0.111,,,
247,-1.0,8,28,0,1,0.125,,,
248,-1.0,9,32,0,1,0.111,,,
249,-1.0,8,28,0,1,0.125,,,
250,-1.0,7,24,0,1,0.143,,,
251,-1.0,8,28,0,1,0.125,,,
252,-1.0,9,32,0,1,0.111,,,
253,-1.0,9,32,0,1,0.111,,,
254,-1.0,8,28,0,1,0.125,30.171302795410156,-3.8835253715515137,0.9994005560874939
255,-1.0,8,28,0,1,0.125,27.240234375,-4.091416835784912,0.9970149397850037
256,-1.0,8,28,0,1,0.125,26.012134552001953,-4.034346580505371,0.9946419596672058
257,-1.0,7,24,0,1,0.143,24.744611740112305,-4.064855575561523,0.9925697445869446
258,-1.0,6,20,0,1,0.167,24.597164154052734,-4.289906024932861,0.9907867312431335
259,-1.0,9,32,0,1,0.111,20.611034393310547,-4.459508895874023,0.9881324172019958
260,-1.0,9,32,0,1,0.111,17.010181427001953,-4.768121242523193,0.9855034351348877
261,-1.0,9,32,0,1,0.111,13.192702293395996,-5.123727321624756,0.982825517654419
262,-1.0,8,28,0,1,0.125,10.777576446533203,-5.88663387298584,0.9803778529167175
263,-1.0,7,24,0,1,0.143,9.160690307617188,-6.2343854904174805,0.9781911373138428
264,-1.0,9,32,0,1,0.111,7.913834095001221,-6.432645797729492,0.9753528833389282
265,-1.0,9,32,0,1,0.111,6.796561241149902,-6.586670398712158,0.9725088477134705
266,-1.0,9,32,0,1,0.111,6.309604644775391,-6.621699810028076,0.9696882367134094
267,-1.0,8,28,0,1,0.125,5.021879196166992,-6.5970330238342285,0.9672130942344666
268,-1.0,8,28,0,1,0.125,5.496010780334473,-6.901494979858398,0.9647525548934937
269,-1.0,8,28,0,1,0.125,4.621646404266357,-6.762486457824707,0.962356448173523
270,-1.0,7,24,0,1,0.143,5.125933647155762,-7.0081048011779785,0.9602504372596741
271,-1.0,8,28,0,1,0.125,4.666075706481934,-7.025667190551758,0.9578602313995361
272,-1.0,9,32,0,1,0.111,5.035585403442383,-7.006645202636719,0.9551972150802612
273,-1.0,7,24,0,1,0.143,4.243660926818848,-7.0947465896606445,0.9531401991844177
274,-1.0,7,24,0,1,0.143,4.277827262878418,-6.991332530975342,0.9510931968688965
275,-1.0,9,32,0,1,0.111,4.372776508331299,-7.129824161529541,0.9484792947769165
276,-1.0,8,28,0,1,0.125,3.911180257797241,-6.9533185958862305,0.9461939930915833
