episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,-1.0,9,32,0,1,0.111,,,
2,-1.0,7,24,0,1,0.143,,,
3,-1.0,9,32,0,1,0.111,,,
4,-1.0,9,32,0,1,0.111,,,
5,-1.0,7,24,0,1,0.143,,,
6,-1.0,9,32,0,1,0.111,,,
7,-1.0,7,24,0,1,0.143,,,
8,-1.0,8,28,0,1,0.125,,,
9,-1.0,6,20,0,1,0.167,,,
10,-1.0,7,24,0,1,0.143,,,
11,-1.0,9,32,0,1,0.111,,,
12,-1.0,7,24,0,1,0.143,,,
13,-1.0,7,24,0,1,0.143,,,
14,-1.0,6,20,0,1,0.167,,,
15,-1.0,7,24,0,1,0.143,,,
16,-1.0,9,32,0,1,0.111,,,
17,-1.0,9,32,0,1,0.111,,,
18,-1.0,7,24,0,1,0.143,,,
19,-1.0,8,28,0,1,0.125,,,
20,-1.0,8,28,0,1,0.125,,,
21,-1.0,8,28,0,1,0.125,,,
22,-1.0,8,28,0,1,0.125,,,
23,-1.0,8,28,0,1,0.125,,,
24,-1.0,8,28,0,1,0.125,,,
25,-1.0,7,24,0,1,0.143,,,
26,-1.0,8,28,0,1,0.125,,,
27,-1.0,8,28,0,1,0.125,,,
28,-1.0,8,28,0,1,0.125,,,
29,-1.0,8,28,0,1,0.125,,,
30,-1.0,8,28,0,1,0.125,,,
31,-1.0,8,28,0,1,0.125,,,
32,-1.0,8,28,0,1,0.125,,,
33,-1.0,7,24,0,1,0.143,,,
34,-1.0,8,28,0,1,0.125,,,
35,-1.0,8,28,0,1,0.125,,,
36,-1.0,8,28,0,1,0.125,,,
37,-1.0,10,36,0,1,0.100,,,
38,-1.0,9,32,0,1,0.111,,,
39,-1.0,7,24,0,1,0.143,,,
40,-1.0,9,32,0,1,0.111,,,
41,-1.0,8,28,0,1,0.125,,,
42,-1.0,8,28,0,1,0.125,,,
43,-1.0,9,32,0,1,0.111,,,
44,-1.0,8,28,0,1,0.125,,,
45,-1.0,9,32,0,1,0.111,,,
46,-1.0,8,28,0,1,0.125,,,
47,-1.0,8,28,0,1,0.125,,,
48,-1.0,8,28,0,1,0.125,,,
49,-1.0,9,32,0,1,0.111,,,
50,-1.0,8,28,0,1,0.125,,,
51,-1.0,9,32,0,1,0.111,,,
52,-1.0,9,32,0,1,0.111,,,
53,-1.0,8,28,0,1,0.125,,,
54,-1.0,8,28,0,1,0.125,,,
55,-1.0,9,32,0,1,0.111,,,
56,-1.0,9,32,0,1,0.111,,,
57,-1.0,8,28,0,1,0.125,,,
58,-1.0,8,28,0,1,0.125,,,
59,-1.0,6,20,0,1,0.167,,,
60,-1.0,8,28,0,1,0.125,,,
61,-1.0,8,28,0,1,0.125,,,
62,-1.0,9,32,0,1,0.111,,,
63,-1.0,9,32,0,1,0.111,,,
64,-1.0,8,28,0,1,0.125,,,
65,-1.0,9,32,0,1,0.111,,,
66,-1.0,8,28,0,1,0.125,,,
67,-1.0,7,24,0,1,0.143,,,
68,-1.0,9,32,0,1,0.111,,,
69,-1.0,9,32,0,1,0.111,,,
70,-1.0,7,24,0,1,0.143,,,
71,-1.0,9,32,0,1,0.111,,,
72,-1.0,7,24,0,1,0.143,,,
73,-1.0,9,32,0,1,0.111,,,
74,-1.0,9,32,0,1,0.111,,,
75,-1.0,8,28,0,1,0.125,,,
76,-1.0,9,32,0,1,0.111,,,
77,-1.0,6,20,0,1,0.167,,,
78,-1.0,9,32,0,1,0.111,,,
79,-1.0,8,28,0,1,0.125,,,
80,-1.0,8,28,0,1,0.125,,,
81,-1.0,8,28,0,1,0.125,,,
82,-1.0,8,28,0,1,0.125,,,
83,-1.0,7,24,0,1,0.143,,,
84,-1.0,6,20,0,1,0.167,,,
85,-1.0,9,32,0,1,0.111,,,
86,-1.0,9,32,0,1,0.111,,,
87,-1.0,8,28,0,1,0.125,,,
88,-1.0,9,32,0,1,0.111,,,
89,-1.0,8,28,0,1,0.125,,,
90,-1.0,9,32,0,1,0.111,,,
91,-1.0,8,28,0,1,0.125,,,
92,-1.0,8,28,0,1,0.125,,,
93,-1.0,7,24,0,1,0.143,,,
94,-1.0,6,20,0,1,0.167,,,
95,-1.0,8,28,0,1,0.125,,,
96,-1.0,8,28,0,1,0.125,,,
97,-1.0,9,32,0,1,0.111,,,
98,-1.0,9,32,0,1,0.111,,,
99,-1.0,8,28,0,1,0.125,,,
100,-1.0,7,24,0,1,0.143,,,
101,-1.0,7,24,0,1,0.143,,,
102,-1.0,8,28,0,1,0.125,,,
103,-1.0,7,24,0,1,0.143,,,
104,-1.0,8,28,0,1,0.125,,,
105,-1.0,7,24,0,1,0.143,,,
106,-1.0,9,32,0,1,0.111,,,
107,-1.0,8,28,0,1,0.125,,,
108,-1.0,8,28,0,1,0.125,,,
109,-1.0,8,28,0,1,0.125,,,
110,-1.0,9,32,0,1,0.111,,,
111,-1.0,8,28,0,1,0.125,,,
112,-1.0,8,28,0,1,0.125,,,
113,-1.0,8,28,0,1,0.125,,,
114,-1.0,7,24,0,1,0.143,,,
115,-1.0,7,24,0,1,0.143,,,
116,-1.0,8,28,0,1,0.125,,,
117,-1.0,9,32,0,1,0.111,,,
118,-1.0,6,20,0,1,0.167,,,
119,-1.0,9,32,0,1,0.111,,,
120,-1.0,8,28,0,1,0.125,,,
121,-1.0,9,32,0,1,0.111,,,
122,-1.0,9,32,0,1,0.111,,,
123,-1.0,8,28,0,1,0.125,,,
124,-1.0,8,28,0,1,0.125,,,
125,-1.0,8,28,0,1,0.125,,,
126,-1.0,7,24,0,1,0.143,,,
127,-1.0,7,24,0,1,0.143,,,
128,-1.0,7,24,0,1,0.143,,,
129,-1.0,9,32,0,1,0.111,,,
130,-1.0,9,32,0,1,0.111,,,
131,-1.0,7,24,0,1,0.143,,,
132,-1.0,9,32,0,1,0.111,,,
133,-1.0,6,20,0,1,0.167,,,
134,-1.0,10,36,0,1,0.100,,,
135,-1.0,8,28,0,1,0.125,,,
136,-1.0,7,24,0,1,0.143,,,
137,-1.0,8,28,0,1,0.125,,,
138,-1.0,8,28,0,1,0.125,,,
139,-1.0,7,24,0,1,0.143,,,
140,-1.0,7,24,0,1,0.143,,,
141,-1.0,7,24,0,1,0.143,,,
142,-1.0,8,28,0,1,0.125,,,
143,-1.0,8,28,0,1,0.125,,,
144,-1.0,7,24,0,1,0.143,,,
145,-1.0,9,32,0,1,0.111,,,
146,-1.0,7,24,0,1,0.143,,,
147,-1.0,8,28,0,1,0.125,,,
148,-1.0,10,36,0,1,0.100,,,
149,-1.0,8,28,0,1,0.125,,,
150,-1.0,8,28,0,1,0.125,,,
151,-1.0,9,32,0,1,0.111,,,
152,-1.0,8,28,0,1,0.125,,,
153,-1.0,8,28,0,1,0.125,,,
154,-1.0,8,28,0,1,0.125,,,
155,-1.0,9,32,0,1,0.111,,,
156,-1.0,7,24,0,1,0.143,,,
157,-1.0,9,32,0,1,0.111,,,
158,-1.0,8,28,0,1,0.125,,,
159,-1.0,9,32,0,1,0.111,,,
160,-1.0,9,32,0,1,0.111,,,
161,-1.0,9,32,0,1,0.111,,,
162,-1.0,7,24,0,1,0.143,,,
163,-1.0,7,24,0,1,0.143,,,
164,-1.0,7,24,0,1,0.143,,,
165,-1.0,8,28,0,1,0.125,,,
166,-1.0,9,32,0,1,0.111,,,
167,-1.0,8,28,0,1,0.125,,,
168,-1.0,7,24,0,1,0.143,,,
169,-1.0,8,28,0,1,0.125,,,
170,-1.0,8,28,0,1,0.125,,,
171,-1.0,7,24,0,1,0.143,,,
172,-1.0,8,28,0,1,0.125,,,
173,-1.0,8,28,0,1,0.125,,,
174,-1.0,7,24,0,1,0.143,,,
175,-1.0,9,32,0,1,0.111,,,
176,-1.0,8,28,0,1,0.125,,,
177,-1.0,8,28,0,1,0.125,,,
178,-1.0,8,28,0,1,0.125,,,
179,-1.0,9,32,0,1,0.111,,,
180,-1.0,9,32,0,1,0.111,,,
181,-1.0,9,32,0,1,0.111,,,
182,-1.0,8,28,0,1,0.125,,,
183,-1.0,9,32,0,1,0.111,,,
184,-1.0,7,24,0,1,0.143,,,
185,-1.0,7,24,0,1,0.143,,,
186,-1.0,7,24,0,1,0.143,,,
187,-1.0,7,24,0,1,0.143,,,
188,-1.0,7,24,0,1,0.143,,,
189,-1.0,8,28,0,1,0.125,,,
190,-1.0,8,28,0,1,0.125,,,
191,-1.0,8,28,0,1,0.125,,,
192,-1.0,7,24,0,1,0.143,,,
193,-1.0,9,32,0,1,0.111,,,
194,-1.0,8,28,0,1,0.125,,,
195,-1.0,9,32,0,1,0.111,,,
196,-1.0,9,32,0,1,0.111,,,
197,-1.0,7,24,0,1,0.143,,,
198,-1.0,9,32,0,1,0.111,,,
199,-1.0,9,32,0,1,0.111,,,
200,-1.0,8,28,0,1,0.125,,,
201,-1.0,8,28,0,1,0.125,,,
202,-1.0,8,28,0,1,0.125,,,
203,-1.0,9,32,0,1,0.111,,,
204,-1.0,8,28,0,1,0.125,,,
205,-1.0,8,28,0,1,0.125,,,
206,-1.0,7,24,0,1,0.143,,,
207,-1.0,9,32,0,1,0.111,,,
208,-1.0,8,28,0,1,0.125,,,
209,-1.0,9,32,0,1,0.111,,,
210,-1.0,9,32,0,1,0.111,,,
211,-1.0,8,28,0,1,0.125,,,
