episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,-1.0,8,28,0,1,0.125,,,
2,-1.0,9,32,0,1,0.111,,,
3,-1.0,7,24,0,1,0.143,,,
4,-1.0,9,32,0,1,0.111,,,
5,-1.0,9,32,0,1,0.111,,,
6,-1.0,8,28,0,1,0.125,,,
7,-1.0,9,32,0,1,0.111,,,
8,-1.0,9,32,0,1,0.111,,,
9,-1.0,6,20,0,1,0.167,,,
10,-1.0,8,28,0,1,0.125,,,
11,-1.0,6,20,0,1,0.167,,,
12,-1.0,9,32,0,1,0.111,,,
13,-1.0,7,24,0,1,0.143,,,
14,-1.0,9,32,0,1,0.111,,,
15,-1.0,8,28,0,1,0.125,,,
16,-1.0,8,28,0,1,0.125,,,
17,-1.0,9,32,0,1,0.111,,,
18,-1.0,8,28,0,1,0.125,,,
19,-1.0,9,32,0,1,0.111,,,
20,-1.0,7,24,0,1,0.143,,,
21,-1.0,8,28,0,1,0.125,,,
22,-1.0,9,32,0,1,0.111,,,
23,-1.0,9,32,0,1,0.111,,,
24,-1.0,8,28,0,1,0.125,,,
25,-1.0,9,32,0,1,0.111,,,
26,-1.0,8,28,0,1,0.125,,,
27,-1.0,7,24,0,1,0.143,,,
28,-1.0,7,24,0,1,0.143,,,
29,-1.0,7,24,0,1,0.143,,,
30,-1.0,9,32,0,1,0.111,,,
31,-1.0,9,32,0,1,0.111,,,
32,-1.0,8,28,0,1,0.125,,,
33,-1.0,8,28,0,1,0.125,,,
34,-1.0,8,28,0,1,0.125,,,
35,-1.0,7,24,0,1,0.143,,,
36,-1.0,9,32,0,1,0.111,,,
37,-1.0,6,20,0,1,0.167,,,
38,-1.0,7,24,0,1,0.143,,,
39,-1.0,8,28,0,1,0.125,,,
40,-1.0,8,28,0,1,0.125,,,
41,-1.0,9,32,0,1,0.111,,,
42,-1.0,8,28,0,1,0.125,,,
43,-1.0,8,28,0,1,0.125,,,
44,-1.0,8,28,0,1,0.125,,,
45,-1.0,8,28,0,1,0.125,,,
46,-1.0,7,24,0,1,0.143,,,
47,-1.0,7,24,0,1,0.143,,,
48,-1.0,9,32,0,1,0.111,,,
49,-1.0,7,24,0,1,0.143,,,
50,-1.0,8,28,0,1,0.125,,,
51,-1.0,9,32,0,1,0.111,,,
52,-1.0,9,32,0,1,0.111,,,
53,-1.0,9,32,0,1,0.111,,,
54,-1.0,8,28,0,1,0.125,,,
55,-1.0,7,24,0,1,0.143,,,
56,-1.0,9,32,0,1,0.111,,,
57,-1.0,9,32,0,1,0.111,,,
58,-1.0,7,24,0,1,0.143,,,
59,-1.0,9,32,0,1,0.111,,,
60,-1.0,7,24,0,1,0.143,,,
