episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,13.400000000000002,9,32,0,1,0.111,,,
2,9.8,7,24,0,1,0.143,,,
3,13.400000000000002,9,32,0,1,0.111,,,
4,13.400000000000002,9,32,0,1,0.111,,,
5,9.8,7,24,0,1,0.143,,,
6,13.400000000000002,9,32,0,1,0.111,,,
7,9.8,7,24,0,1,0.143,,,
8,11.600000000000001,8,28,0,1,0.125,,,
9,8.0,6,20,0,1,0.167,,,
10,9.8,7,24,0,1,0.143,,,
11,13.400000000000002,9,32,0,1,0.111,,,
12,9.8,7,24,0,1,0.143,,,
13,9.8,7,24,0,1,0.143,,,
14,8.0,6,20,0,1,0.167,,,
15,9.8,7,24,0,1,0.143,,,
16,13.400000000000002,9,32,0,1,0.111,,,
17,13.400000000000002,9,32,0,1,0.111,,,
18,9.8,7,24,0,1,0.143,,,
19,11.600000000000001,8,28,0,1,0.125,,,
20,11.600000000000001,8,28,0,1,0.125,,,
21,11.600000000000001,8,28,0,1,0.125,,,
22,11.600000000000001,8,28,0,1,0.125,,,
23,11.600000000000001,8,28,0,1,0.125,,,
24,11.600000000000001,8,28,0,1,0.125,,,
25,9.8,7,24,0,1,0.143,,,
26,11.600000000000001,8,28,0,1,0.125,,,
27,11.600000000000001,8,28,0,1,0.125,,,
28,11.600000000000001,8,28,0,1,0.125,,,
29,11.600000000000001,8,28,0,1,0.125,,,
30,11.600000000000001,8,28,0,1,0.125,,,
31,11.600000000000001,8,28,0,1,0.125,,,
32,11.600000000000001,8,28,0,1,0.125,,,
33,9.8,7,24,0,1,0.143,,,
34,11.600000000000001,8,28,0,1,0.125,,,
35,11.600000000000001,8,28,0,1,0.125,,,
36,11.600000000000001,8,28,0,1,0.125,,,
37,15.200000000000003,10,36,0,1,0.100,,,
38,13.400000000000002,9,32,0,1,0.111,,,
39,9.8,7,24,0,1,0.143,,,
40,13.400000000000002,9,32,0,1,0.111,,,
41,11.600000000000001,8,28,0,1,0.125,,,
42,11.600000000000001,8,28,0,1,0.125,,,
43,13.400000000000002,9,32,0,1,0.111,,,
44,11.600000000000001,8,28,0,1,0.125,,,
45,13.400000000000002,9,32,0,1,0.111,,,
46,11.600000000000001,8,28,0,1,0.125,,,
47,11.600000000000001,8,28,0,1,0.125,,,
48,11.600000000000001,8,28,0,1,0.125,,,
49,13.400000000000002,9,32,0,1,0.111,,,
50,11.600000000000001,8,28,0,1,0.125,,,
51,13.400000000000002,9,32,0,1,0.111,,,
52,13.400000000000002,9,32,0,1,0.111,,,
53,11.600000000000001,8,28,0,1,0.125,,,
54,11.600000000000001,8,28,0,1,0.125,,,
55,13.400000000000002,9,32,0,1,0.111,,,
56,13.400000000000002,9,32,0,1,0.111,,,
57,11.600000000000001,8,28,0,1,0.125,,,
58,11.600000000000001,8,28,0,1,0.125,,,
59,8.0,6,20,0,1,0.167,,,
60,11.600000000000001,8,28,0,1,0.125,,,
61,11.600000000000001,8,28,0,1,0.125,,,
62,13.400000000000002,9,32,0,1,0.111,,,
63,13.400000000000002,9,32,0,1,0.111,,,
64,11.600000000000001,8,28,0,1,0.125,,,
65,13.400000000000002,9,32,0,1,0.111,,,
66,11.600000000000001,8,28,0,1,0.125,,,
67,9.8,7,24,0,1,0.143,,,
68,13.400000000000002,9,32,0,1,0.111,,,
69,13.400000000000002,9,32,0,1,0.111,,,
70,9.8,7,24,0,1,0.143,,,
71,13.400000000000002,9,32,0,1,0.111,,,
72,9.8,7,24,0,1,0.143,,,
73,13.400000000000002,9,32,0,1,0.111,,,
74,13.400000000000002,9,32,0,1,0.111,,,
75,11.600000000000001,8,28,0,1,0.125,,,
76,13.400000000000002,9,32,0,1,0.111,,,
77,8.0,6,20,0,1,0.167,,,
78,13.400000000000002,9,32,0,1,0.111,,,
79,11.600000000000001,8,28,0,1,0.125,,,
80,11.600000000000001,8,28,0,1,0.125,,,
81,11.600000000000001,8,28,0,1,0.125,,,
82,11.600000000000001,8,28,0,1,0.125,,,
83,9.8,7,24,0,1,0.143,,,
84,8.0,6,20,0,1,0.167,,,
85,13.400000000000002,9,32,0,1,0.111,,,
86,13.400000000000002,9,32,0,1,0.111,,,
87,11.600000000000001,8,28,0,1,0.125,,,
88,13.400000000000002,9,32,0,1,0.111,,,
89,11.600000000000001,8,28,0,1,0.125,,,
