episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,-1.0,7,24,0,1,0.143,,,
2,-1.0,9,32,0,1,0.111,,,
3,-1.0,6,20,0,1,0.167,,,
4,-1.0,8,28,0,1,0.125,,,
5,-1.0,7,24,0,1,0.143,,,
6,-1.0,10,36,0,1,0.100,,,
7,-1.0,8,28,0,1,0.125,,,
8,-1.0,8,28,0,1,0.125,,,
9,-1.0,6,20,0,1,0.167,,,
10,-1.0,8,28,0,1,0.125,,,
11,-1.0,8,28,0,1,0.125,,,
12,-1.0,8,28,0,1,0.125,,,
13,-1.0,8,28,0,1,0.125,,,
14,-1.0,7,24,0,1,0.143,,,
15,-1.0,8,28,0,1,0.125,,,
16,-1.0,7,24,0,1,0.143,,,
17,-1.0,7,24,0,1,0.143,,,
18,-1.0,8,28,0,1,0.125,,,
19,-1.0,9,32,0,1,0.111,,,
20,-1.0,8,28,0,1,0.125,,,
21,-1.0,7,24,0,1,0.143,,,
22,-1.0,9,32,0,1,0.111,,,
23,-1.0,7,24,0,1,0.143,,,
24,-1.0,7,24,0,1,0.143,,,
25,-1.0,8,28,0,1,0.125,,,
26,-1.0,8,28,0,1,0.125,,,
27,-1.0,9,32,0,1,0.111,,,
28,-1.0,7,24,0,1,0.143,,,
29,-1.0,8,28,0,1,0.125,,,
30,-1.0,8,28,0,1,0.125,,,
31,-1.0,7,24,0,1,0.143,,,
32,-1.0,8,28,0,1,0.125,,,
33,-1.0,8,28,0,1,0.125,,,
34,-1.0,6,20,0,1,0.167,,,
35,-1.0,6,20,0,1,0.167,,,
36,-1.0,8,28,0,1,0.125,,,
37,-1.0,9,32,0,1,0.111,,,
38,-1.0,9,32,0,1,0.111,,,
39,-1.0,8,28,0,1,0.125,,,
40,-1.0,9,32,0,1,0.111,,,
41,-1.0,9,32,0,1,0.111,,,
42,-1.0,8,28,0,1,0.125,,,
43,-1.0,7,24,0,1,0.143,,,
44,-1.0,9,32,0,1,0.111,,,
45,-1.0,9,32,0,1,0.111,,,
46,-1.0,8,28,0,1,0.125,,,
47,-1.0,9,32,0,1,0.111,,,
48,-1.0,6,20,0,1,0.167,,,
49,-1.0,8,28,0,1,0.125,,,
50,-1.0,9,32,0,1,0.111,,,
51,-1.0,7,24,0,1,0.143,,,
52,-1.0,8,28,0,1,0.125,,,
53,-1.0,8,28,0,1,0.125,,,
54,-1.0,7,24,0,1,0.143,,,
55,-1.0,9,32,0,1,0.111,,,
56,-1.0,8,28,0,1,0.125,,,
57,-1.0,9,32,0,1,0.111,,,
58,-1.0,7,24,0,1,0.143,,,
59,-1.0,8,28,0,1,0.125,,,
60,-1.0,8,28,0,1,0.125,,,
61,-1.0,10,36,0,1,0.100,,,
62,-1.0,8,28,0,1,0.125,,,
63,-1.0,9,32,0,1,0.111,,,
64,-1.0,7,24,0,1,0.143,,,
65,-1.0,7,24,0,1,0.143,,,
66,-1.0,8,28,0,1,0.125,,,
67,-1.0,7,24,0,1,0.143,,,
68,-1.0,8,28,0,1,0.125,,,
69,-1.0,8,28,0,1,0.125,,,
70,-1.0,7,24,0,1,0.143,,,
71,-1.0,8,28,0,1,0.125,,,
72,-1.0,10,36,0,1,0.100,,,
73,-1.0,9,32,0,1,0.111,,,
74,-1.0,7,24,0,1,0.143,,,
75,-1.0,7,24,0,1,0.143,,,
76,-1.0,7,24,0,1,0.143,,,
77,-1.0,6,20,0,1,0.167,,,
78,-1.0,8,28,0,1,0.125,,,
79,-1.0,8,28,0,1,0.125,,,
80,-1.0,8,28,0,1,0.125,,,
81,-1.0,6,20,0,1,0.167,,,
82,-1.0,6,20,0,1,0.167,,,
83,-1.0,8,28,0,1,0.125,,,
84,-1.0,9,32,0,1,0.111,,,
85,-1.0,7,24,0,1,0.143,,,
86,-1.0,8,28,0,1,0.125,,,
87,-1.0,8,28,0,1,0.125,,,
88,-1.0,8,28,0,1,0.125,,,
89,-1.0,9,32,0,1,0.111,,,
90,-1.0,9,32,0,1,0.111,,,
91,-1.0,8,28,0,1,0.125,,,
92,-1.0,8,28,0,1,0.125,,,
93,-1.0,8,28,0,1,0.125,,,
94,-1.0,8,28,0,1,0.125,,,
95,-1.0,8,28,0,1,0.125,,,
96,-1.0,8,28,0,1,0.125,,,
97,-1.0,7,24,0,1,0.143,,,
98,-1.0,8,28,0,1,0.125,,,
99,-1.0,8,28,0,1,0.125,,,
100,-1.0,8,28,0,1,0.125,,,
101,-1.0,9,32,0,1,0.111,,,
102,-1.0,9,32,0,1,0.111,,,
103,-1.0,9,32,0,1,0.111,,,
104,-1.0,8,28,0,1,0.125,,,
105,-1.0,7,24,0,1,0.143,,,
106,-1.0,9,32,0,1,0.111,,,
107,-1.0,8,28,0,1,0.125,,,
108,-1.0,7,24,0,1,0.143,,,
109,-1.0,9,32,0,1,0.111,,,
110,-1.0,7,24,0,1,0.143,,,
111,-1.0,9,32,0,1,0.111,,,
112,-1.0,8,28,0,1,0.125,,,
113,-1.0,7,24,0,1,0.143,,,
114,-1.0,8,28,0,1,0.125,,,
115,-1.0,9,32,0,1,0.111,,,
116,-1.0,7,24,0,1,0.143,,,
117,-1.0,9,32,0,1,0.111,,,
118,-1.0,9,32,0,1,0.111,,,
119,-1.0,7,24,0,1,0.143,,,
120,-1.0,9,32,0,1,0.111,,,
121,-1.0,9,32,0,1,0.111,,,
122,-1.0,8,28,0,1,0.125,,,
123,-1.0,9,32,0,1,0.111,,,
124,-1.0,8,28,0,1,0.125,,,
125,-1.0,9,32,0,1,0.111,,,
126,-1.0,7,24,0,1,0.143,,,
127,-1.0,8,28,0,1,0.125,,,
128,-1.0,8,28,0,1,0.125,,,
129,-1.0,9,32,0,1,0.111,,,
130,-1.0,8,28,0,1,0.125,,,
131,-1.0,7,24,0,1,0.143,,,
132,-1.0,8,28,0,1,0.125,,,
133,-1.0,7,24,0,1,0.143,,,
134,-1.0,7,24,0,1,0.143,,,
135,-1.0,9,32,0,1,0.111,,,
136,-1.0,9,32,0,1,0.111,,,
137,-1.0,7,24,0,1,0.143,,,
138,-1.0,9,32,0,1,0.111,,,
139,-1.0,9,32,0,1,0.111,,,
140,-1.0,6,20,0,1,0.167,,,
141,-1.0,9,32,0,1,0.111,,,
142,-1.0,9,32,0,1,0.111,,,
143,-1.0,8,28,0,1,0.125,,,
144,-1.0,8,28,0,1,0.125,,,
145,-1.0,9,32,0,1,0.111,,,
146,-1.0,9,32,0,1,0.111,,,
147,-1.0,8,28,0,1,0.125,,,
148,-1.0,8,28,0,1,0.125,,,
149,-1.0,7,24,0,1,0.143,,,
150,-1.0,8,28,0,1,0.125,,,
151,-1.0,7,24,0,1,0.143,,,
152,-1.0,7,24,0,1,0.143,,,
153,-1.0,8,28,0,1,0.125,,,
154,-1.0,8,28,0,1,0.125,,,
155,-1.0,8,28,0,1,0.125,,,
156,-1.0,8,28,0,1,0.125,,,
157,-1.0,9,32,0,1,0.111,,,
158,-1.0,9,32,0,1,0.111,,,
159,-1.0,9,32,0,1,0.111,,,
