episode,reward,ep_len,covered,solved,invalid_actions,invalid_rate,critic_loss,actor_loss,alpha
1,11.600000000000001,8,28,0,1,0.125,,,
2,13.400000000000002,9,32,0,1,0.111,,,
3,9.8,7,24,0,1,0.143,,,
4,13.400000000000002,9,32,0,1,0.111,,,
5,13.400000000000002,9,32,0,1,0.111,,,
6,11.600000000000001,8,28,0,1,0.125,,,
7,13.400000000000002,9,32,0,1,0.111,,,
8,13.400000000000002,9,32,0,1,0.111,,,
9,8.0,6,20,0,1,0.167,,,
10,11.600000000000001,8,28,0,1,0.125,,,
11,8.0,6,20,0,1,0.167,,,
12,13.400000000000002,9,32,0,1,0.111,,,
13,9.8,7,24,0,1,0.143,,,
14,13.400000000000002,9,32,0,1,0.111,,,
15,11.600000000000001,8,28,0,1,0.125,,,
16,11.600000000000001,8,28,0,1,0.125,,,
17,13.400000000000002,9,32,0,1,0.111,,,
18,11.600000000000001,8,28,0,1,0.125,,,
19,13.400000000000002,9,32,0,1,0.111,,,
20,9.8,7,24,0,1,0.143,,,
21,11.600000000000001,8,28,0,1,0.125,,,
22,13.400000000000002,9,32,0,1,0.111,,,
23,13.400000000000002,9,32,0,1,0.111,,,
24,11.600000000000001,8,28,0,1,0.125,,,
25,13.400000000000002,9,32,0,1,0.111,,,
26,11.600000000000001,8,28,0,1,0.125,,,
27,9.8,7,24,0,1,0.143,,,
28,9.8,7,24,0,1,0.143,,,
29,9.8,7,24,0,1,0.143,,,
30,13.400000000000002,9,32,0,1,0.111,,,
31,13.400000000000002,9,32,0,1,0.111,,,
32,11.600000000000001,8,28,0,1,0.125,,,
33,11.600000000000001,8,28,0,1,0.125,,,
34,11.600000000000001,8,28,0,1,0.125,,,
35,9.8,7,24,0,1,0.143,,,
36,13.400000000000002,9,32,0,1,0.111,,,
37,8.0,6,20,0,1,0.167,,,
38,9.8,7,24,0,1,0.143,,,
39,11.600000000000001,8,28,0,1,0.125,,,
40,11.600000000000001,8,28,0,1,0.125,,,
41,13.400000000000002,9,32,0,1,0.111,,,
42,11.600000000000001,8,28,0,1,0.125,,,
43,11.600000000000001,8,28,0,1,0.125,,,
44,11.600000000000001,8,28,0,1,0.125,,,
45,11.600000000000001,8,28,0,1,0.125,,,
46,9.8,7,24,0,1,0.143,,,
47,9.8,7,24,0,1,0.143,,,
48,13.400000000000002,9,32,0,1,0.111,,,
49,9.8,7,24,0,1,0.143,,,
50,11.600000000000001,8,28,0,1,0.125,,,
51,13.400000000000002,9,32,0,1,0.111,,,
52,13.400000000000002,9,32,0,1,0.111,,,
53,13.400000000000002,9,32,0,1,0.111,,,
54,11.600000000000001,8,28,0,1,0.125,,,
55,9.8,7,24,0,1,0.143,,,
56,13.400000000000002,9,32,0,1,0.111,,,
57,13.400000000000002,9,32,0,1,0.111,,,
58,9.8,7,24,0,1,0.143,,,
59,13.400000000000002,9,32,0,1,0.111,,,
60,9.8,7,24,0,1,0.143,,,
61,13.400000000000002,9,32,0,1,0.111,,,
62,11.600000000000001,8,28,0,1,0.125,,,
